,0,1,2,3,4,5,6,7,8,9
71_24_3_0,0.9877256155014038,0.9913029074668884,0.9972537755966187,0.9943419098854065,0.9992193579673767,,,,,
71_24_3_1,0.9853017926216125,0.991007924079895,0.9972737431526184,0.9947941303253174,0.9993224740028381,,,,,
71_24_3_2,0.9876957535743713,0.9933568835258484,0.9967784881591797,0.9946698546409607,0.9992048740386963,,,,,
71_24_2_0,0.9902778267860413,0.9929531216621399,0.998213529586792,0.9966101050376892,0.999335765838623,,,,,
71_24_2_1,0.9897782206535339,0.9928810596466064,0.9981787204742432,0.9967259168624878,0.9993924498558044,,,,,
71_24_2_2,0.9894067049026489,0.9948294162750244,0.9978697896003723,0.9966686367988586,0.9994111657142639,,,,,
71_24_1_0,0.9930156469345093,0.9957992434501648,0.9991778135299683,0.9982792735099792,0.9994162917137146,,,,,
71_24_1_1,0.989995002746582,0.9924957752227783,0.9990985989570618,0.9988120794296265,0.9995540976524353,,,,,
71_24_1_2,0.9891690611839294,0.9970829486846924,0.9987959265708923,0.9984870553016663,0.9995181560516357,,,,,
71_12_12_0,0.9411485195159912,0.9845618009567261,0.9916820526123047,0.984291136264801,0.9985250234603882,,,,,
71_12_12_1,0.9472382068634033,0.9847047328948975,0.9912503361701965,0.9847956895828247,0.9986044764518738,,,,,
71_12_12_2,0.937453031539917,0.9868635535240173,0.990924060344696,0.9852228164672852,0.9986312389373779,,,,,
71_12_9_0,0.9493217468261719,0.9857621192932129,0.9934267401695251,0.9862552881240845,0.9984205365180969,,,,,
71_12_9_1,0.9600372910499573,0.9871401786804199,0.9915188550949097,0.9866558313369751,0.9988330006599426,,,,,
71_12_9_2,0.9559891223907471,0.9883134961128235,0.9912751913070679,0.9873342514038086,0.9988858699798584,,,,,
71_12_6_0,0.9742310643196106,0.9890989661216736,0.9947487115859985,0.9900921583175659,0.9989566802978516,,,,,
71_12_6_1,0.9762601852416992,0.9898889064788818,0.994422197341919,0.9904366135597229,0.9990501999855042,,,,,
71_12_6_2,0.9723729491233826,0.9904614090919495,0.9925797581672668,0.9902757406234741,0.9990907311439514,,,,,
71_12_3_0,0.9854558110237122,0.9922236204147339,0.9969744682312012,0.9941108822822571,0.9993451237678528,,,,,
71_12_3_1,0.9890656471252441,0.9920096397399902,0.9968445301055908,0.9947917461395264,0.9992948174476624,,,,,
71_12_3_2,0.9872226119041443,0.9931932091712952,0.9963362216949463,0.9948974847793579,0.9993085265159607,,,,,
71_12_2_0,0.990141749382019,0.9940164089202881,0.9981935024261475,0.9965506196022034,0.999366819858551,,,,,
71_12_2_1,0.9879013299942017,0.9928534626960754,0.9981517791748047,0.9967790246009827,0.9993946552276611,,,,,
71_12_2_2,0.9908891916275024,0.9951221346855164,0.997520387172699,0.9971723556518555,0.9993541836738586,,,,,
71_12_1_0,0.9929091930389404,0.9957215189933777,0.9990507364273071,0.9983133673667908,0.9994822144508362,,,,,
71_12_1_1,0.9890530705451965,0.9929901361465454,0.9991021156311035,0.9988150596618652,0.9995307326316833,,,,,
71_12_1_2,0.989754855632782,0.9972111582756042,0.9987167119979858,0.9985073804855347,0.9994513988494873,,,,,
211_72_12_0,0.9991049766540527,0.9970571994781494,0.9997788071632385,0.989762008190155,0.9999561309814453,0.999968945980072,0.997312605381012,0.9970727562904358,0.8844977021217346,0.999965488910675
211_72_12_1,0.9989094734191895,0.9963745474815369,0.9997355937957764,0.9890910387039185,0.9999449253082275,0.9999625086784363,0.9967156052589417,0.9968855381011963,0.8805683851242065,0.999961793422699
211_72_12_2,0.9990897178649902,0.9968799352645874,0.9997583627700806,0.9887324571609497,0.9999528527259827,0.9999639391899109,0.9959363341331482,0.9968268871307373,0.8837486505508423,0.9999610781669617
211_72_9_0,0.9994632601737976,0.9979637861251831,0.9998485445976257,0.9927080869674683,0.9999718070030212,0.9999805092811584,0.9983556866645813,0.9978349208831787,0.9184461832046509,0.9999778866767883
211_72_9_1,0.9993079900741577,0.9977889657020569,0.9998202323913574,0.9921214580535889,0.9999660849571228,0.9999769926071167,0.9980357885360718,0.9976593852043152,0.9128737449645996,0.9999751448631287
211_72_9_2,0.9993836283683777,0.9980507493019104,0.9998489022254944,0.9926992654800415,0.9999735355377197,0.9999812841415405,0.9982309341430664,0.9978004097938538,0.9158416390419006,0.9999776482582092
211_72_6_0,0.9995670318603516,0.9987307786941528,0.9999053478240967,0.9958072304725647,0.9999821782112122,0.9999874830245972,0.998884916305542,0.9985344409942627,0.9450417160987854,0.99998539686203
211_72_6_1,0.9995899200439453,0.9989545941352844,0.9999020099639893,0.9955515265464783,0.9999819993972778,0.9999879598617554,0.9987466335296631,0.9984502196311951,0.9442866444587708,0.9999855756759644
211_72_6_2,0.9996158480644226,0.9988752007484436,0.9999085664749146,0.9954476952552795,0.9999841451644897,0.9999889135360718,0.998913586139679,0.9984316825866699,0.9412940144538879,0.999984860420227
211_72_3_0,0.9998898506164551,0.999675989151001,0.9999687671661377,0.9986310601234436,0.9999942779541016,0.9999960064888,0.9996305108070374,0.9993290305137634,0.9769949316978455,0.999995231628418
211_72_3_1,0.9998608827590942,0.9996500015258789,0.9999663233757019,0.9985020756721497,0.9999938607215881,0.9999959468841553,0.9996101260185242,0.9993290305137634,0.9777195453643799,0.9999949336051941
211_72_3_2,0.9998315572738647,0.9995676875114441,0.9999692440032959,0.998530387878418,0.9999937415122986,0.9999957084655762,0.9995110034942627,0.9993350505828857,0.977382242679596,0.9999947547912598
211_72_2_0,0.9999285340309143,0.9998024106025696,0.9999839663505554,0.999250054359436,0.9999967813491821,0.9999977350234985,0.9997865557670593,0.9996320009231567,0.9879721999168396,0.9999976754188538
